#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.178,,SWITCH,Switch,Cisco,ciscoFastHubBMMFX
.1.3.6.1.4.1.9.1.178,,SWITCH,Switch,Cisco,ciscoFastHub
.1.3.6.1.4.1.9.1.179,,SWITCH,Switch,Cisco,ciscoUBR7246
.1.3.6.1.4.1.9.1.179,,SWITCH,Switch,Cisco,ciscoUBR
.1.3.6.1.4.1.9.1.180,,SWITCH,Switch,Cisco,cisco6400
.1.3.6.1.4.1.9.1.181,,SWITCH,Switch,Cisco,cisco12004
.1.3.6.1.4.1.9.1.181,,SWITCH,Switch,Cisco,cisco12000
.1.3.6.1.4.1.9.1.182,,SWITCH,Switch,Cisco,cisco12008
.1.3.6.1.4.1.9.1.182,,SWITCH,Switch,Cisco,cisco12000
.1.3.6.1.4.1.9.1.183,,SWITCH,Switch,Cisco,catalyst2924XL
.1.3.6.1.4.1.9.1.183,,SWITCH,Switch,Cisco,catalyst2900
.1.3.6.1.4.1.9.1.184,,SWITCH,Switch,Cisco,catalyst2924CXL
.1.3.6.1.4.1.9.1.184,,SWITCH,Switch,Cisco,catalyst2900
.1.3.6.1.4.1.9.1.185,,SWITCH,Switch,Cisco,cisco2610
.1.3.6.1.4.1.9.1.185,,SWITCH,Switch,Cisco,cisco2600
.1.3.6.1.4.1.9.1.186,,SWITCH,Switch,Cisco,cisco2611
.1.3.6.1.4.1.9.1.186,,SWITCH,Switch,Cisco,cisco2600
.1.3.6.1.4.1.9.1.187,,SWITCH,Switch,Cisco,cisco2612
.1.3.6.1.4.1.9.1.187,,SWITCH,Switch,Cisco,cisco2600
.1.3.6.1.4.1.9.1.188,,SWITCH,Switch,Cisco,ciscoAS5800
.1.3.6.1.4.1.9.1.189,,SWITCH,Switch,Cisco,ciscoSC3640
.1.3.6.1.4.1.9.1.190,,SWITCH,Switch,Cisco,cisco8510
.1.3.6.1.4.1.9.1.190,,SWITCH,Switch,Cisco,ciscoCSR
.1.3.6.1.4.1.9.1.191,,SWITCH,Switch,Cisco,ciscoUBR904
.1.3.6.1.4.1.9.1.191,,SWITCH,Switch,Cisco,ciscoUBR
.1.3.6.1.4.1.9.1.192,,SWITCH,Switch,Cisco,cisco6200
.1.3.6.1.4.1.9.1.194,,SWITCH,Switch,Cisco,cisco7202,cisco7200
.1.3.6.1.4.1.9.1.195,,SWITCH,Switch,Cisco,cisco2613,cisco2600
.1.3.6.1.4.1.9.1.196,,SWITCH,Switch,Cisco,cisco8515,ciscoCSR
.1.3.6.1.4.1.9.1.197,,SWITCH,Switch,Cisco,catalyst9006
.1.3.6.1.4.1.9.1.198,,SWITCH,Switch,Cisco,catalyst9009
.1.3.6.1.4.1.9.1.199,,SWITCH,Switch,Cisco,ciscoRPM
.1.3.6.1.4.1.9.1.200,,SWITCH,Switch,Cisco,cisco1710,cisco1700
.1.3.6.1.4.1.9.1.201,,SWITCH,Switch,Cisco,cisco1720,cisco1700
.1.3.6.1.4.1.9.1.202,,SWITCH,Switch,Cisco,catalyst8540msr,ciscoMSR
.1.3.6.1.4.1.9.1.203,,SWITCH,Switch,Cisco,catalyst8540csr,ciscoCSR
.1.3.6.1.4.1.9.1.204,,SWITCH,Switch,Cisco,cisco7576,cisco7500
.1.3.6.1.4.1.9.1.205,,SWITCH,Switch,Cisco,cisco3660,cisco3660
.1.3.6.1.4.1.9.1.206,,SWITCH,Switch,Cisco,cisco1401,cisco1400
.1.3.6.1.4.1.9.1.208,,SWITCH,Switch,Cisco,cisco2620,cisco2600
.1.3.6.1.4.1.9.1.209,,SWITCH,Switch,Cisco,cisco2621,cisco2600
.1.3.6.1.4.1.9.1.210,,SWITCH,Switch,Cisco,ciscoUBR7223,ciscoUBR
.1.3.6.1.4.1.9.1.211,,SWITCH,Switch,Cisco,cisco6400Nrp
