UID        PID  PPID  C STIME TTY          TIME CMD
app       5031  5029  0 5月30 ?       00:55:30 /app/serverware/jdk/bin/java -Dinstance.name=asmwechat -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=9995,server=y,suspend=n -Xmx1024M -XX:MaxPermSize=512M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/asmwechat -Dlog4j.priority=DEBUG -Djava.io.tmpdir=/app/servers/asmwechat/tmp -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=asmwechat -Dtechsure.home=/app -Dhttp.port=8191 -Dhttps.port=9357 -Dshutdown.port=9187 -Dajp.port=9188 -Drmi.reg.port=9287 -Drmi.server.port=9288 -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/asmwechat -Dcatalina.home=/app/servers/asmwechat -Djava.io.tmpdir=/app/servers/asmwechat/tmp org.apache.catalina.startup.Bootstrap start
app       5045     1  0 5月30 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -all -s cas -a startall -m parallel
app       5047  5045  0 5月30 ?       01:21:42 /app/serverware/jdk/bin/java -Dinstance.name=cas -Xdebug -Xnoagent -Xmx1024M -XX:MaxPermSize=256M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/cas -Dlog4j.priority=ERROR -Djava.io.tmpdir=/app/servers/cas/tmp -DINSTANCE_NAME=cas -Dtechsure.home=/app -Dhttp.port=9200 -Dhttps.port=9201 -Dshutdown.port=9202 -Dajp.port=9203 -Drmi.reg.port=9204 -Drmi.server.port=9205 -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/cas -Dcatalina.home=/app/servers/cas -Djava.io.tmpdir=/app/servers/cas/tmp org.apache.catalina.startup.Bootstrap start
app       5049     1  0 5月30 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -all -s bsmwechat -a startall -m parallel
app       5055  5049  0 5月30 ?       01:02:00 /app/serverware/jdk/bin/java -Dinstance.name=bsmwechat -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=9977,server=y,suspend=n -Xmx1024M -XX:MaxPermSize=256M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=app/logs/bsmwechat -Dlog4j.priority=ERROR -Djava.io.tmpdir=/app/servers/bsmwechat/tmp -Djava.awt.headless=true -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=bsmwechat -Dtechsure.home=/app -Dhttp.port=8190 -Dhttps.port=9135 -Dshutdown.port=9234 -Dajp.port=9347 -Drmi.reg.port=9456 -Drmi.server.port=9598 -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/bsmwechat -Dcatalina.home=/app/servers/bsmwechat -Djava.io.tmpdir=/app/servers/bsmwechat/tmp org.apache.catalina.startup.Bootstrap start
app       5072     1  0 5月30 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -all -s balantflow_ty -a startall -m parallel
app       5074  5072  0 5月30 ?       00:59:19 /app/serverware/jdk/bin/java -Dinstance.name=balantflow_ty -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=19999,server=y,suspend=n -Xmx8192M -XX:MaxPermSize=512M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/balantflow_ty -Dlog4j.priority=ERROR -Djava.io.tmpdir=/app/servers/balantflow_ty/tmp -Djava.awt.headless=true -Dcom.sun.management.jmxremote.port=10199 -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=balantflow_ty -Dtechsure.home=/app -Dhttp.port=8081 -Dhttps.port=9346 -Dshutdown.port=9194 -Dajp.port=9195 -Drmi.reg.port=9295 -Drmi.server.port=9296 -javaagent:/app/systems/balantflow_ty/javaagent/tsapm-javaagent.jar -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/balantflow_ty -Dcatalina.home=/app/servers/balantflow_ty -Djava.io.tmpdir=/app/servers/balantflow_ty/tmp org.apache.catalina.startup.Bootstrap start
postfix   6709  1680  0 16:59 ?        00:00:00 pickup -l -t unix -u
root      6896     2  0 17:01 ?        00:00:00 [kworker/0:1]
root     10093     2  0 6月29 ?       00:03:47 [kworker/0:2]
root     10580     2  0 17:46 ?        00:00:00 [kworker/1:2H]
root     11222     2  0 17:54 ?        00:00:00 [kworker/1:2]
root     11632     2  0 17:59 ?        00:00:00 [kworker/1:1]
root     11712     2  0 18:00 ?        00:00:00 [kworker/3:1]
root     12043     2  0 18:04 ?        00:00:00 [kworker/1:0]
root     12211  1489  2 18:07 ?        00:00:00 sshd: root@pts/0
root     12214 12211  0 18:07 pts/0    00:00:00 -bash
root     12230  1489  2 18:07 ?        00:00:00 sshd: root@notty
root     12305 12214  0 18:07 pts/0    00:00:00 ps -ef
root     13243     2  0 6月26 ?       00:00:00 [kworker/u8:1]
root     19612     2  0 6月18 ?       00:00:00 [dio/dm-0]
